nombre,tipo,canal,carta_ref,sonda_m,senalizado,pagina,es_duplicado_de
Banco Aquiles,banco,Canal Chacao,7210,,,150,
Bajo Campana,bajo,Canal Chacao,7210,5.0,,151,
Rocas Guapacho,roca,Canal Chacao,7210,,,151,
Rocas Osorio,roca,Canal Chacao,7210,4.5,,151,
Banco lnglés,banco,Canal Chacao,7210,,,153,
Banco Núñez. Rocas Chaicura,banco,Canal Chacao,7210,,,154,
Roca Cochinos,roca,Canal Chacao,7210,8.0,,155,
Restos Náufragos,naufragio,Canal Chacao,7210,,,155,
Banco San Antonio,banco,Canal Chacao,7210,,,155,
Banco Cochinos,banco,Canal Chacao,7210,,,158,
"Rocas Mutrico, Carabantes y Cortés",roca,Canal Chacao,7210,,,159,
Bajo Colo-Colo,bajo,Canal Chacao,7210,,,159,
Bajo Young,bajo,Canal Chacao,7210,,,160,
Bajo Amazonas,bajo,Canal Chacao,7210,,,160,
Bajo Knoll,bajo,Canal Chacao,7210,,,160,
Bajo Esmeralda,bajo,Canal Chacao,7210,3.0,,160,
Roca Esmeralda,roca,Canal Chacao,7210,1.8,,160,
Rocas Pugueñún,roca,Canal Chacao,7210,,,162,
Roca Capilla,roca,Canal Chacao,7210,4.6,,162,
Bajo Doce de Octubre,bajo,Canal Chacao,7210,10.0,,162,
Restos náufragos,naufragio,Canal Chacao,7210,,,163,155
Roca Remolinos,roca,Canal Chacao,7210,,,164,
Bajo Seluian,bajo,Canal Chacao,7210,,si,166,
Rocas Chacao,roca,Canal Chacao,7210,,,166,
Banco Maipo,banco,Golfo Ancud,7210,,,177,
Bajo Quilahuilque,bajo,Canal Caucahué,7300,4.7,,179,
Roca Pillihue,roca,Canal Caucahué,7300,1.4,,182,
Bajo Caucahué,bajo,Canal Caucahué,7300,3.4,,183,
Bajo Pulmunmun,bajo,Canal Caucahué,7300,,,183,
Roca Piedra Lilecura,roca,Canal Caucahué,7300,,,183,
Rocas Peligro,roca,Canal Caucahué,7300,,si,184,
Bajo Chauques,bajo,Canal Chauques,7300,,,188,
Bajo Aulín,bajo,Canal Chauques,7300,,,188,
Bajo del Medio,bajo,Canal Chauques,7300,5.3,,188,
Bajo Pájaros,bajo,Canal Chauques,7300,,,188,
Bajo Chincui,bajo,Canal Chauques,7300,4.8,,188,
Bajo fondo (PD),bajo,Canal Chauques,7300,2.0,,188,
Bajo Bracey,bajo,Canal Tac,7300,,,189,
Bajo Dugoab,bajo,Canal Tac,7300,,,189,
Bajo fondo,bajo,Paso Tenaún,7300,3.0,,191,
Bajo Linlín,bajo,Paso Tenaún,7300,,si,191,
Bajo Dalcahue,bajo,Canal Dalcahue,7370,3.8,,192,
Banco del Astillero,banco,Canal Dalcahue,7370,,,193,
Banco del Pasaje,banco,Canal Dalcahue,7370,,,193,
Bajo La Barra,bajo,Canal Quinchao,7300,,,197,
Roca Olsen,roca,Canal Quinchao,7300,2.1,,197,
Bajo Meulin,bajo,Canal Quinchao,7300,,,198,
Bajo Quenac,bajo,Canal Quinchao,7300,,,198,
Bajo Huemul,bajo,Canal Quinchao,7300,,,199,
Bajo Chelín,bajo,Canal Quehui,7300,3.0,,201,
Bajo Imelev,bajo,Canal Quehui,7300,,,202,
Roca,roca,Paso Imelev,7300,,,203,
Bajo Queill,bajo,Canal Alao,7300,,,205,
Bajo Chaulinec,bajo,Canal Chaulinec,7300,1.7,,206,
Bajo Inconveniente,bajo,Canal Chaulinec,7300,6.5,,206,
Bajo Chauchil,bajo,Golfo Ancud,7300,,,209,
Banco Santo Domingo,banco,Golfo Ancud,7300,,,210,
Bajo María,bajo,Golfo Ancud,7300,,,210,
Bajo fondo,bajo,Golfo Ancud,7300,,si,211,
Roca Huevo,roca,Golfo Ancud,7300,,,211,
Bajo fondo,bajo,Golfo Ancud,7300,2.75,,211,211
Bajo fondo,bajo,Golfo Ancud,7300,3.0,,211,211
Bajo fondo,bajo,Golfo Ancud,7300,2.1,,211,211
Banco costero,banco,Canal Cholgo,7300,3.0,,225,
Bajo fondo,bajo,Canal Cholgo,7300,9.3,si,225,
Rocas Barrientos,roca,Canal Cholgo,7300,,,228,
Bajo Navarro,bajo,Canal Cholgo,7300,10.0,,228,
Roca Driver,roca,Canal Cholgo,7300,,,228,
Roca Naranjo,roca,Canal Cholgo,7392,,,229,
Bajo fondo,bajo,Canal Cholgo,7392,3.1,,229,225
Bajo Imerquiña,bajo,Canal Cholgo,7410,4.7,,230,
Bajo Salvo,bajo,Canal Cholgo,7410,,,230,
Rocas Tengo,roca,Canal Desertores,7410,,,231,
Bajo Abtao,bajo,Canal y Puerto Abtao,7210,,,239,
Roca San Pedro,roca,Canal San Antonio,7300,,,241,
Banco Lagartija,banco,Canal San Antonio,7300,,,241,
Bajo Sur,bajo,Canal San Antonio,7300,8.5,,241,
Bajo Cacique,bajo,Canal San Antonio,7300,4.3,,241,
Bajo del Medio,bajo,Canal San Antonio,7300,3.9,,241,
Bajo Cola,bajo,Canal San Antonio,7300,3.9,,241,
Bajo Buta,bajo,Paso Lami,7300,,,243,
Bajo Chal,bajo,Paso Lami,7300,,,243,
Bajo Cailín,bajo,Paso Lami,7300,,si,243,
Roca Alta,roca,Paso Corvio,7300,2.8,,244,
